colums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP,,,,,
공사일지일자,엑셀일자,공사일지당일작업내용,요일,공휴일,휴일(쉬는날),감독일지내용,,S+0,predict,S+0,predict,S+1,predict,S+1,predict,S+2,predict,S+2,predict,S+3,predict,S+3,predict,S+3,predict,S+4,predict,S+4,predict,S+4,predict,S+5,predict,S+5,predict,S+5,predict,S+6,predict,S+6,predict,R-A,predict,R-B,predict,R-C,predict,R-D,predict,부체,predict,부체#1,predict,부체#2,predict,부체#3,predict,부체#4,predict,부체#5,predict,부체#6,predict,부체#7,predict,부체#8,predict,부체#9,predict,부체#10,predict,부체#11,predict,시점부,predict,종점부,predict,진입도로,predict,리도210호선,predict,휴게소,predict,분류불능,predict,기타,predict
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20091231,2009-12-31,,목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100302,2010-03-02,STA. 1+450 규준틀 설치 및 벌개제근STA. 4+250 벌개제근 및 임목폐기물 정리,화,,,"09:00~11:00 공사추진관련회의 - 5공구 : 190억 예산 소화를 위한 공정계획 검토 - 6공구 : 245억 예산 소화를 위한 공정계획 검토11:00~12:00 공사추진관련 현장점검 - 5공구 : 외삼포교외 공사추진현장 점검 - 6공구 : 장평1터널 굴진등 공사추진 현장 점검13:00~16:00 공사추진관련 현장점검 - 5공구 : 외삼포교외 공사추진현장 점검 - 6공구 : 장평1터널 굴진등 공사추진 현장 점검16:00~18:00 5, 6공구 품질관리 계획서 변경분 검토",,,,,,STA. 1+450 규준틀 설치 및 벌개제근,"('토공','IC/JC','토공기타','토공기타')",,,,,,,,,,,,,STA. 4+250 벌개제근 및 임목폐기물 정리,"('토공','IC/JC','토공기타','토공기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100303,2010-03-03,STA. 4+738 내부동바리 설치작업(1SPAN),수,,,13:00~15:00 휴게소 진입도로 개설관련 소유자 민원협의13:00~15:00 휴게소 진입도로 개설관련 소유자 민원협의15:00~18:00 군업3교 강재거푸집 측압검토,,,,,,,,,,,,,,,,,,,,STA. 4+738 내부동바리 설치작업(1SPAN),"('토공','IC/JC','토공기타','토공기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100304,2010-03-04,,목,,,"09:00~10:30 임목폐기물 처리관련 현장확인 5공구 : 1,500㎥ 6공구 : 800㎥10:30~12:00 5, 6공구 B/P 및 C/R장 위치변경 서류 검토13:00~15:00 군업4교 시공계획 검토15:00~16:00 시점부 진입도로 주변 배수시설 설치 검토16:00~18:00 청렴관련 사업단 이노미팅",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100305,2010-03-05,,금,,,"09:00~10:30 공정추진관련 회의 5공구 : 외삼포교, 장평1~4교 추진계획 및 시점부 토공계획 검토 6공구 : 장평1터널 공사추진 및 장평2교 시공계획 검토13:00~14:00 화촌터널 종점부 현장확인14:00~16:00 시점부 편입가옥 이전협의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100306,2010-03-06,STA. 1+400 시험발파 부지정리,토,,휴일,- 휴 무,,,,,,STA. 1+400 시험발파 부지정리,"('토공','IC/JC','토공기타','토공기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100307,2010-03-07,STA. 1+400 시험발파 부지정리,일,,휴일,- 휴무,,,,,,STA. 1+400 시험발파 부지정리,"('토공','IC/JC','토공기타','토공기타')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
