sentence,lv3,lv4,lv7_1,lv7_2
"토공·R-I, F 작업로 보수 및 법면 정리",토공,IC/JC,토공기타,토공기타
2공구 접속구간 공사용 진입도로 개설(STA.0+834 ~ STA.0+889) ,토공,본선,토공기타,토공기타
종점부 임목 파쇄(STA.0+834 ~ STA.0+889) ,토공,본선,토공기타,토공기타
종점부 벌목 및 세륜기 거푸집 조립(STA.0+834 ~ STA.0+889),토공,본선,토공기타,토공기타
2공구 접속구간 공사용 진입도로 개설(STA.0+834 ~ STA.0+889) ,토공,본선,토공기타,토공기타
종점부 2공구 반입토 운반 및 성토(STA.0+834 ~ STA.0+889),토공,본선,흙쌓기,흙쌓기기타
종점부 임목 파쇄(STA.0+834 ~ STA.0+889),토공,본선,토공기타,토공기타
시점부 벌목(STA.0+078.049)종점부 임목정리(STA.0+834 ~ STA.0+889),토공,본선,토공기타,토공기타
부체도로 임목파쇄 ,토공,지선/부체도로,토공기타,토공기타
부체도로 2번 법면정리 ,토공,지선/부체도로,토공기타,토공기타
부체도로 2번  : 토공정리 ,토공,지선/부체도로,토공기타,토공기타
부체도로 : 벌목 및 집목,토공,지선/부체도로,토공기타,토공기타
기초 토공 정리(STA.0+104)2공구 접속구간 공사용진입도로 개설(STA.0+834 ~ STA.0+889) ,토공,본선,토공기타,토공기타
STA.2+400~540 성토,토공,본선,흙쌓기,흙쌓기기타
STA.2+350~ 2+500 노체성토 및 다짐/법면정리,토공,본선,흙쌓기,노체
STA.2+350~ 2+500 노체성토 및 다짐,토공,본선,흙쌓기,노체
STA.0+104.120(P2 울산) 기초 토공 정리STA.0+834.720(P15 울산) ~ STA.0+889.720(P16 울산) 2공구 진입로 개설 ,토공,본선,토공기타,토공기타
STA. 1+970 ~ 2+020 법면 정리,토공,본선,토공기타,토공기타
STA. 0+800~1+500 벌목 및 소운반,토공,본선,토공기타,토공기타
STA. 0+640~700 성토,토공,본선,흙쌓기,흙쌓기기타
STA. 0+630~0+740 흙깎기 및 영내 성토,토공,본선,흙깎기,흙깍기기타
STA. 0+630 ~ 740 성토,토공,본선,흙쌓기,흙쌓기기타
STA. 0+500~1+500 벌목 및 소운반,토공,본선,토공기타,토공기타
"R-I, F 작업로 보수 및 법면 정리",토공,IC/JC,토공기타,토공기타
R-I 진입로 성토 및 뒷채움,토공,IC/JC,흙쌓기,노체
R-I 성토부 법면정리,토공,IC/JC,흙쌓기,토공기타
"R-H, I 깎기 및 법면정리",토공,IC/JC,흙깎기,흙깍기기타
R-H 토취장 작업로 정비,토공,IC/JC,토공기타,토공기타
R-H 토취장 복구 작업,토공,IC/JC,토공기타,토공기타
R-H 절토부 깍기 및 상차,토공,IC/JC,흙깎기,흙깍기기타
R-H 깎기 및 법면정리,토공,IC/JC,흙깎기,흙깍기기타
R-G 토공 정리,토공,IC/JC,토공기타,토공기타
"R-G 성토 및 다짐, 법면정리",토공,IC/JC,흙쌓기,흙쌓기기타
R-G 노상정리,토공,IC/JC,흙쌓기,노상
"R-F,G 노상 정리",토공,IC/JC,흙쌓기,노상
"R-F, I, G 성토 및 다짐",토공,IC/JC,흙쌓기,흙쌓기기타
