,"프로젝트명
(L1)","공종
(L3)","시설물
(L4)","확장공간
(L6)","작업단위1
(L7)","작업단위2
(L7)",리스크발생일,실제공기,1차(대),1차(중),1차(소),2차(대),2차(중),2차(소),공기지연,상세근거
0,프로젝트A,토공,본선,S+0,토공기타,토공기타,2010-03-15,15,,,,,,,1,
1,프로젝트A,토공,본선,S+0,토공기타,토공기타,2010-03-16,15,,,,,,,1,
2,프로젝트A,토공,본선,S+0,토공기타,토공기타,2010-03-18,15,,,,,,,1,
3,프로젝트A,토공,본선,S+0,토공기타,토공기타,2010-03-26,15,,,,,,,1,
4,프로젝트A,토공,본선,S+0,토공기타,토공기타,2010-03-31,15,,,,,,,1,
5,프로젝트A,토공,본선,S+0,토공기타,토공기타,2010-04-01,15,,,,,,,1,
6,프로젝트A,토공,본선,S+0,토공기타,토공기타,2010-04-05,15,,,,,,,1,
7,프로젝트A,토공,본선,S+0,토공기타,토공기타,2010-04-08,15,,,,,,,1,
8,프로젝트A,토공,본선,S+0,흙깎기,리핑,2010-05-12,26,,,,,,,1,
9,프로젝트A,토공,본선,S+0,흙깎기,리핑,2010-05-13,26,,,,,,,1,
10,프로젝트A,토공,본선,S+0,흙깎기,리핑,2010-05-17,26,,,,,,,1,
11,프로젝트A,토공,본선,S+0,흙깎기,리핑,2010-05-18,26,,,,,,,1,
12,프로젝트A,토공,본선,S+0,흙깎기,리핑,2010-05-24,26,,,,,,,1,
13,프로젝트A,토공,본선,S+0,흙깎기,리핑,2013-06-18,29,,,,,,,1,
14,프로젝트A,토공,본선,S+0,토공기타,비탈면보호공,2013-10-21,29,,,,,,,1,
15,프로젝트A,토공,본선,S+0,흙깎기,리핑,2013-12-04,27,,,,,,,1,
16,프로젝트A,토공,본선,S+0,흙깎기,리핑,2013-12-13,27,,,,,,,1,
17,프로젝트A,토공,본선,S+0,흙깎기,리핑,2013-12-19,27,,,,,,,1,
